title,url,category,type,topic,summary,description,tags,score,score_reason,evidence
"AI Dev 25: Code, learn, connect.",https://youtube.com/playlist?list=PLkDaE6sCZn6EYD2iP6x7c3zSbJXi0_jZT&si=tT7PkHTzBTMBqP5L,Video,Video,AI Education,"AI Dev 25, celebrated during Pi Day, was an incredible gathering of developers and innovators, and we’re grateful you were part of ...","AI Dev 25, celebrated during Pi Day, was an incredible gathering of developers and innovators, and we’re grateful you were part of ...","AI Education, Video, Video Series, AI Learning, Hands-on Practice",3,"Video on ai education; requires vetting for depth; Wow—what a day! AI Dev 25, celebrated during Pi Day, was an incredible gathering of developers and innovators, and we’re grateful you were part of ...","Wow—what a day! AI Dev 25, celebrated during Pi Day, was an incredible gathering of developers and innovators, and we’re grateful you were part of ..."
Andrej Karpathy,https://www.youtube.com/andrejkarpathy,Video,Video,Deep Learning,No summary available,No summary available — No summary available,"Karpathy, Deep Learning, Video, Video Series, AI Learning",4,Video on deep learning; No summary available,No summary available
Anthropic,https://www.youtube.com/@anthropic-ai,Video,Video,AI Education,"We’re an AI safety and research company. Talk to our AI assistant Claude on claude.com. Download Claude on desktop, iOS, or Android. We believe A... Anthropic - YouTube","We’re an AI safety and research company. Talk to our AI assistant Claude on claude.com. Download Claude on desktop, iOS, or Android. We believe A... Anthropic - YouTube","Anthropic, AI Education, Video, Video Series, AI Learning",3,"Video on ai education; requires vetting for depth; We’re an AI safety and research company. Talk to our AI assistant Claude on claude.com. Download Claude on desktop, iOS, or Android. We believe A...","We’re an AI safety and research company. Talk to our AI assistant Claude on claude.com. Download Claude on desktop, iOS, or Android. We believe A... | Anthropic - YouTube"
Berkeley RDI Center on Decentralization & AI,http://www.youtube.com/@BerkeleyRDI,Video,Video,Agentic AI,UC Berkeley RDI Center – rdi.berkeley.edu World's first Advanced LLM Agents MOOC - llmagents-learning.org/sp25 World's first LLM Agents MOOC - llma...,UC Berkeley RDI Center – rdi.berkeley.edu World's first Advanced LLM Agents MOOC - llmagents-learning.org/sp25 World's first LLM Agents MOOC - llma...,"Berkeley, Agentic AI, Video, Video Series, AI Learning",3,Video on agentic ai; requires vetting for depth; UC Berkeley RDI Center – rdi.berkeley.edu World's first Advanced LLM Agents MOOC - llmagents-learning.org/sp25 World's first LLM Agents MOOC - llma...,UC Berkeley RDI Center – rdi.berkeley.edu World's first Advanced LLM Agents MOOC - llmagents-learning.org/sp25 World's first LLM Agents MOOC - llma...
Building AI Agents,https://www.youtube.com/playlist?list=PL-Y17yukoyy0SupAJSPQYg_Lvre9Kt9EG,Video,Video,Agentic AI,Tutorials and best practices for building AI systems and agents with Python,Tutorials and best practices for building AI systems and agents with Python,"Agentic AI, Video, Video Series, AI Learning, Hands-on Practice",3,Video on agentic ai; requires vetting for depth; Tutorials and best practices for building AI systems and agents with Python,Tutorials and best practices for building AI systems and agents with Python
Deep Dive into LLMs like ChatGPT,https://youtu.be/7xTGNNLPyMI?si=dm2ZuxnBymlg99kn,Video,Video,Generative AI,This is a general audience deep dive into the Large Language Model (LLM) AI technology that powers ChatGPT and related products. It is covers the f...,This is a general audience deep dive into the Large Language Model (LLM) AI technology that powers ChatGPT and related products. It is covers the f...,"Generative AI, Video, Video Series, AI Learning, Hands-on Practice",3,Video on generative ai; requires vetting for depth; This is a general audience deep dive into the Large Language Model (LLM) AI technology that powers ChatGPT and related products. It is covers the f...,This is a general audience deep dive into the Large Language Model (LLM) AI technology that powers ChatGPT and related products. It is covers the f...
LangChain,https://www.youtube.com/@LangChain,Video,Video,Generative AI,Learn more about building LLM applications with LangChain LangChain - YouTube,Learn more about building LLM applications with LangChain LangChain - YouTube,"LangChain, Generative AI, Video, Video Series, AI Learning",3,Video on generative ai; requires vetting for depth; Learn more about building LLM applications with LangChain,Learn more about building LLM applications with LangChain | LangChain - YouTube
Learn RAG From Scratch – Python AI Tutorial from a LangChain Engineer,http://www.youtube.com/watch?v=sVcwVQRHIc8&t=3566s,Video,Video,Retrieval-Augmented Generation,"Learn how to implement RAG (Retrieval Augmented Generation) from scratch, straight from a LangChain software engineer. This Python course teaches y...","Learn how to implement RAG (Retrieval Augmented Generation) from scratch, straight from a LangChain software engineer. This Python course teaches y...","LangChain, RAG, Retrieval-Augmented Generation, Video, Video Series",3,"Video on retrieval-augmented generation; requires vetting for depth; Learn how to implement RAG (Retrieval Augmented Generation) from scratch, straight from a LangChain software engineer. This Python course teaches y...","Learn how to implement RAG (Retrieval Augmented Generation) from scratch, straight from a LangChain software engineer. This Python course teaches y..."
Lecture 1,http://www.youtube.com/watch?v=3tDE4hDaYgw&list=PLxf3-FrL8GzTIQpnY_UyzDX6JK0_Kbe_t,Video,Video,AI Education,The AI course is entirely free.Live classes are held every Tuesday and Wednesday on Facebook and YouTube from 7:30 to 9:30 p.m.Recorded lectures wi...,The AI course is entirely free.Live classes are held every Tuesday and Wednesday on Facebook and YouTube from 7:30 to 9:30 p.m.Recorded lectures wi...,"AI Education, Video, Video Series, AI Learning, Hands-on Practice",3,Video on ai education; requires vetting for depth; The AI course is entirely free.Live classes are held every Tuesday and Wednesday on Facebook and YouTube from 7:30 to 9:30 p.m.Recorded lectures wi...,The AI course is entirely free.Live classes are held every Tuesday and Wednesday on Facebook and YouTube from 7:30 to 9:30 p.m.Recorded lectures wi...
Neural networks,http://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,Video,Video,Deep Learning,"Learn the basics of neural networks and backpropagation, one of the most important algorithms for the modern world.","Learn the basics of neural networks and backpropagation, one of the most important algorithms for the modern world.","Deep Learning, Video, Video Series, AI Learning, Hands-on Practice",3,"Video on deep learning; requires vetting for depth; Learn the basics of neural networks and backpropagation, one of the most important algorithms for the modern world.","Learn the basics of neural networks and backpropagation, one of the most important algorithms for the modern world."
Theo - t3․gg,https://www.youtube.com/@t3dotgg,Video,Video,AI Education,"Hi, I'm a software dev nerd mostly known for full stack TypeScript stuff. Check out me and my stack at t3.gg","Hi, I'm a software dev nerd mostly known for full stack TypeScript stuff. Check out me and my stack at t3.gg","AI Education, Video, Video Series, AI Learning, Hands-on Practice",3,"Video on ai education; requires vetting for depth; Hi, I'm a software dev nerd mostly known for full stack TypeScript stuff. Check out me and my stack at t3.gg","Hi, I'm a software dev nerd mostly known for full stack TypeScript stuff. Check out me and my stack at t3.gg"
